have	have	h	ha	hav	have	-	e	ve	ave	have	-	0	0	0	0100	010001	0100010	0100010	0100010	0100010	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
Series	series	s	se	ser	seri	serie	s	es	ies	ries	eries	0	0	0	1110	111001	11100110	1110011010	11100110100	11100110100	B-API
as	as	a	as	-	-	-	s	as	-	-	-	0	0	0	0001	000111	0001110	0001110	0001110	0001110	O
below	below	b	be	bel	belo	below	w	ow	low	elow	below	0	0	0	0101	010111	01011111	0101111101	010111110101	0101111101011	O
,	,	,	-	-	-	-	,	-	-	-	-	0	0	0	0011	001110	001110	001110	001110	001110	O
#CODE	#code	#	#c	#co	#cod	#code	e	de	ode	code	#code	0	0	0	0110	011010	011010	011010	011010	011010	O

To	to	t	to	-	-	-	o	to	-	-	-	0	0	0	0111	011110	011110	011110	011110	011110	O
check	check	c	ch	che	chec	check	k	ck	eck	heck	check	0	0	0	0100	010010	01001011	0100101110	0100101110	0100101110	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
whether	whether	w	wh	whe	whet	wheth	r	er	her	ther	ether	0	0	0	0101	010111	01011111	0101111110	010111111011	0101111110111	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
elements	elements	e	el	ele	elem	eleme	s	ts	nts	ents	ments	0	0	0	1110	111010	11101010	1110101011	111010101110	111010101110	O
of	of	o	of	-	-	-	f	of	-	-	-	0	0	0	0000	0000	0000	0000	0000	0000	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
Series	series	s	se	ser	seri	serie	s	es	ies	ries	eries	0	0	0	1110	111001	11100110	1110011010	11100110100	11100110100	B-API
are	are	a	ar	are	-	-	e	re	are	-	-	0	0	0	0111	011111	01111111	0111111110	0111111110	0111111110	O
positive	positive	p	po	pos	posi	posit	e	ve	ive	tive	itive	0	0	0	1111	111111	11111111	1111111110	111111111011	1111111110110	O
you	you	y	yo	you	-	-	u	ou	you	-	-	0	0	0	0111	011100	0111000	0111000	0111000	0111000	O
could	could	c	co	cou	coul	could	d	ld	uld	ould	could	0	0	0	0111	011111	01111100	011111000	011111000	011111000	O
create	create	c	cr	cre	crea	creat	e	te	ate	eate	reate	0	0	0	0100	010011	01001101	0100110100	01001101000	01001101000	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
Boolean	boolean	b	bo	boo	bool	boole	n	an	ean	lean	olean	0	0	0	1111	111111	11111111	1111111101	111111110111	111111110111	O
Series	series	s	se	ser	seri	serie	s	es	ies	ries	eries	0	0	0	1110	111001	11100110	1110011010	11100110100	11100110100	B-API
like	like	l	li	lik	like	-	e	ke	ike	like	-	0	0	0	0101	010111	01011100	01011100	01011100	01011100	O
this	this	t	th	thi	this	-	s	is	his	this	-	0	0	0	0110	011000	0110000	0110000	0110000	0110000	O
:	:	:	-	-	-	-	:	-	-	-	-	0	0	0	0010	00101	00101	00101	00101	00101	O
#CODE	#code	#	#c	#co	#cod	#code	e	de	ode	code	#code	0	0	0	0110	011010	011010	011010	011010	011010	O

To	to	t	to	-	-	-	o	to	-	-	-	0	0	0	0111	011110	011110	011110	011110	011110	O
get	get	g	ge	get	-	-	t	et	get	-	-	0	0	0	0100	010011	01001101	0100110110	0100110110	0100110110	O
`	`	`	-	-	-	-	`	-	-	-	-	0	0	0	1101	110100	110100	110100	110100	110100	O
sign	sign	s	si	sig	sign	-	n	gn	ign	sign	-	0	0	0	1110	111000	11100000	1110000010	11100000100	11100000100	O
`	`	`	-	-	-	-	`	-	-	-	-	0	0	0	1101	110100	110100	110100	110100	110100	O
into	into	i	in	int	into	-	o	to	nto	into	-	0	0	0	0001	000101	00010111	000101110	000101110	000101110	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
similar	similar	s	si	sim	simi	simil	r	ar	lar	ilar	milar	0	0	0	1111	111101	11110111	1111011111	11110111111	11110111111	O
Boolean	boolean	b	bo	boo	bool	boole	n	an	ean	lean	olean	0	0	0	1111	111111	11111111	1111111101	111111110111	111111110111	O
series	series	s	se	ser	seri	serie	s	es	ies	ries	eries	0	0	0	1110	111001	11100110	1110011010	11100110100	11100110100	B-API
,	,	,	-	-	-	-	,	-	-	-	-	0	0	0	0011	001110	001110	001110	001110	001110	O
you	you	y	yo	you	-	-	u	ou	you	-	-	0	0	0	0111	011100	0111000	0111000	0111000	0111000	O
can	can	c	ca	can	-	-	n	an	can	-	-	0	0	0	0111	011111	01111100	011111001	011111001	011111001	O
need	need	n	ne	nee	need	-	d	ed	eed	need	-	0	0	0	0100	010000	0100000	0100000	0100000	0100000	O
to	to	t	to	-	-	-	o	to	-	-	-	0	0	0	0111	011110	011110	011110	011110	011110	O
interpret	interpret	i	in	int	inte	inter	t	et	ret	pret	rpret	0	0	0	0100	010011	01001100	0100110010	01001100100	01001100100	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
strings	strings	s	st	str	stri	strin	s	gs	ngs	ings	rings	0	0	0	1110	111010	11101011	111010110	111010110	111010110	O
'	'	'	-	-	-	-	'	-	-	-	-	0	0	0	1101	110101	1101011	1101011	1101011	1101011	O
+	+	+	-	-	-	-	+	-	-	-	-	0	0	0	1101	110111	11011110	1101111011	110111101111	110111101111	O
'	'	'	-	-	-	-	'	-	-	-	-	0	0	0	1101	110101	1101011	1101011	1101011	1101011	O
and	and	a	an	and	-	-	d	nd	and	-	-	0	0	0	0011	001100	001100	001100	001100	001100	O
'	'	'	-	-	-	-	'	-	-	-	-	0	0	0	1101	110101	1101011	1101011	1101011	1101011	O
-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0011	001111	00111101	0011110100	0011110100	0011110100	O
'	'	'	-	-	-	-	'	-	-	-	-	0	0	0	1101	110101	1101011	1101011	1101011	1101011	O
strings	strings	s	st	str	stri	strin	s	gs	ngs	ings	rings	0	0	0	1110	111010	11101011	111010110	111010110	111010110	O
as	as	a	as	-	-	-	s	as	-	-	-	0	0	0	0001	000111	0001110	0001110	0001110	0001110	O
Boolean	boolean	b	bo	boo	bool	boole	n	an	ean	lean	olean	0	0	0	1111	111111	11111111	1111111101	111111110111	111111110111	O
values	values	v	va	val	valu	value	s	es	ues	lues	alues	0	0	0	1110	111010	11101011	1110101110	1110101110	1110101110	O
.	.	.	-	-	-	-	.	-	-	-	-	1	0	0	0011	001111	00111110	00111110	00111110	00111110	O

For	for	f	fo	for	-	-	r	or	for	-	-	0	0	0	0001	000110	000110	000110	000110	000110	O
example	example	e	ex	exa	exam	examp	e	le	ple	mple	ample	0	0	0	1110	111011	11101110	111011100	111011100	111011100	O
:	:	:	-	-	-	-	:	-	-	-	-	0	0	0	0010	00101	00101	00101	00101	00101	O
#CODE	#code	#	#c	#co	#cod	#code	e	de	ode	code	#code	0	0	0	0110	011010	011010	011010	011010	011010	O

Now	now	n	no	now	-	-	w	ow	now	-	-	0	0	0	0110	011011	01101111	0110111101	01101111010	01101111010	O
you	you	y	yo	you	-	-	u	ou	you	-	-	0	0	0	0111	011100	0111000	0111000	0111000	0111000	O
can	can	c	ca	can	-	-	n	an	can	-	-	0	0	0	0111	011111	01111100	011111001	011111001	011111001	O
compare	compare	c	co	com	comp	compa	e	re	are	pare	mpare	0	0	0	0100	010011	01001100	0100110011	010011001110	010011001110	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
two	two	t	tw	two	-	-	o	wo	two	-	-	0	0	0	1011	101100	10110000	10110000	10110000	10110000	O
series	series	s	se	ser	seri	serie	s	es	ies	ries	eries	0	0	0	1110	111001	11100110	1110011010	11100110100	11100110100	B-API
and	and	a	an	and	-	-	d	nd	and	-	-	0	0	0	0011	001100	001100	001100	001100	001100	O
use	use	u	us	use	-	-	e	se	use	-	-	0	0	0	0100	010011	01001110	01001110	01001110	01001110	O
`	`	`	-	-	-	-	`	-	-	-	-	0	0	0	1101	110100	110100	110100	110100	110100	O
all	all	a	al	all	-	-	l	ll	all	-	-	0	0	0	1011	101101	10110101	10110101	10110101	10110101	B-API
`	`	`	-	-	-	-	`	-	-	-	-	0	0	0	1101	110100	110100	110100	110100	110100	O
.	.	.	-	-	-	-	.	-	-	-	-	1	0	0	0011	001111	00111110	00111110	00111110	00111110	O

In	in	i	in	-	-	-	n	in	-	-	-	0	0	0	0001	000101	0001010	0001010	0001010	0001010	O
one	one	o	on	one	-	-	e	ne	one	-	-	0	0	0	1011	101110	10111010	10111010	10111010	10111010	O
line	line	l	li	lin	line	-	e	ne	ine	line	-	0	0	0	1110	111000	11100010	1110001010	11100010101	11100010101	O
,	,	,	-	-	-	-	,	-	-	-	-	0	0	0	0011	001110	001110	001110	001110	001110	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
whole	whole	w	wh	who	whol	whole	e	le	ole	hole	whole	0	0	0	1111	111110	11111000	1111100000	1111100000	1111100000	O
thing	thing	t	th	thi	thin	thing	g	ng	ing	hing	thing	0	0	0	1110	111011	11101111	1110111110	111011111010	1110111110101	O
looks	looks	l	lo	loo	look	looks	s	ks	oks	ooks	looks	0	0	0	0101	010111	01011101	0101110111	0101110111	0101110111	O
like	like	l	li	lik	like	-	e	ke	ike	like	-	0	0	0	0101	010111	01011100	01011100	01011100	01011100	O
this	this	t	th	thi	this	-	s	is	his	this	-	0	0	0	0110	011000	0110000	0110000	0110000	0110000	O
:	:	:	-	-	-	-	:	-	-	-	-	0	0	0	0010	00101	00101	00101	00101	00101	O
#CODE	#code	#	#c	#co	#cod	#code	e	de	ode	code	#code	0	0	0	0110	011010	011010	011010	011010	011010	O

This	this	t	th	thi	this	-	s	is	his	this	-	0	0	0	0110	011000	0110000	0110000	0110000	0110000	O
solution	solution	s	so	sol	solu	solut	n	on	ion	tion	ution	0	0	0	1110	111011	11101111	1110111111	111011111110	1110111111101	O
requires	requires	r	re	req	requ	requi	s	es	res	ires	uires	0	0	0	0111	011111	01111110	0111111011	011111101100	011111101100	O
some	some	s	so	som	some	-	e	me	ome	some	-	0	0	0	1011	101111	10111110	101111100	101111100	101111100	O
numpy	numpy	n	nu	num	nump	numpy	y	py	mpy	umpy	numpy	0	0	0	1111	111111	11111101	1111110111	11111101110	11111101110	O
functions	functions	f	fu	fun	func	funct	s	ns	ons	ions	tions	0	0	0	1110	111010	11101001	111010010	111010010	111010010	O
,	,	,	-	-	-	-	,	-	-	-	-	0	0	0	0011	001110	001110	001110	001110	001110	O
but	but	b	bu	but	-	-	t	ut	but	-	-	0	0	0	0110	011011	01101111	0110111111	0110111111	0110111111	O
since	since	s	si	sin	sinc	since	e	ce	nce	ince	since	0	0	0	0110	011011	01101110	0110111010	011011101011	0110111010111	O
you	you	y	yo	you	-	-	u	ou	you	-	-	0	0	0	0111	011100	0111000	0111000	0111000	0111000	O
are	are	a	ar	are	-	-	e	re	are	-	-	0	0	0	0111	011111	01111111	0111111110	0111111110	0111111110	O
using	using	u	us	usi	usin	using	g	ng	ing	sing	using	0	0	0	0101	010110	01011000	01011000	01011000	01011000	O
pandas	pandas	p	pa	pan	pand	panda	s	as	das	ndas	andas	0	0	0	1111	111111	11111100	11111100	11111100	11111100	O
for	for	f	fo	for	-	-	r	or	for	-	-	0	0	0	0001	000110	000110	000110	000110	000110	O
your	your	y	yo	you	your	-	r	ur	our	your	-	0	0	0	1001	10010	10010	10010	10010	10010	O
data	data	d	da	dat	data	-	a	ta	ata	data	-	0	0	0	1110	111001	11100100	11100100	11100100	11100100	O
series	series	s	se	ser	seri	serie	s	es	ies	ries	eries	0	0	0	1110	111001	11100110	1110011010	11100110100	11100110100	B-API
,	,	,	-	-	-	-	,	-	-	-	-	0	0	0	0011	001110	001110	001110	001110	001110	O
this	this	t	th	thi	this	-	s	is	his	this	-	0	0	0	0110	011000	0110000	0110000	0110000	0110000	O
is	is	i	is	-	-	-	s	is	-	-	-	0	0	0	0111	011111	01111110	0111111001	0111111001	0111111001	O
probably	probably	p	pr	pro	prob	proba	y	ly	bly	ably	bably	0	0	0	0101	010101	01010111	0101011111	010101111111	010101111111	O
not	not	n	no	not	-	-	t	ot	not	-	-	0	0	0	0101	010101	01010110	01010110	01010110	01010110	O
an	an	a	an	-	-	-	n	an	-	-	-	0	0	0	1011	101111	1011110	1011110	1011110	1011110	O
issue	issue	i	is	iss	issu	issue	e	ue	sue	ssue	issue	0	0	0	1110	111011	11101111	1110111111	111011111100	111011111100	O
for	for	f	fo	for	-	-	r	or	for	-	-	0	0	0	0001	000110	000110	000110	000110	000110	O
you	you	y	yo	you	-	-	u	ou	you	-	-	0	0	0	0111	011100	0111000	0111000	0111000	0111000	O
.	.	.	-	-	-	-	.	-	-	-	-	1	0	0	0011	001111	00111110	00111110	00111110	00111110	O

#CODE	#code	#	#c	#co	#cod	#code	e	de	ode	code	#code	0	0	0	0110	011010	011010	011010	011010	011010	O

Python	python	p	py	pyt	pyth	pytho	n	on	hon	thon	ython	0	0	0	1111	111111	11111101	111111010	111111010	111111010	O
Pandas	pandas	p	pa	pan	pand	panda	s	as	das	ndas	andas	0	0	0	1111	111111	11111100	11111100	11111100	11111100	O
Panel	panel	p	pa	pan	pane	panel	l	el	nel	anel	panel	0	0	0	1110	111001	11100110	1110011010	111001101011	1110011010111	B-API
counting	counting	c	co	cou	coun	count	g	ng	ing	ting	nting	0	0	0	0101	010111	01011110	0101111001	01011110010	01011110010	O
value	value	v	va	val	valu	value	e	ue	lue	alue	value	0	0	0	1110	111000	11100010	1110001011	11100010110	11100010110	O
occurence	occurence	o	oc	occ	occu	occur	e	ce	nce	ence	rence	0	0	0	1110	111000	11100001	1110000111	11100001110	11100001110	O

I	i	i	-	-	-	-	i	-	-	-	-	0	0	0	0111	011101	0111010	0111010	0111010	0111010	O
have	have	h	ha	hav	have	-	e	ve	ave	have	-	0	0	0	0100	010001	0100010	0100010	0100010	0100010	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
large	large	l	la	lar	larg	large	e	ge	rge	arge	large	0	0	0	1111	111111	11111110	1111111010	1111111010	1111111010	O
dataset	dataset	d	da	dat	data	datas	t	et	set	aset	taset	0	0	0	1110	111011	11101101	1110110111	111011011110	1110110111101	O
stored	stored	s	st	sto	stor	store	d	ed	red	ored	tored	0	0	0	0101	010110	01011010	0101101000	010110100011	010110100011	O
as	as	a	as	-	-	-	s	as	-	-	-	0	0	0	0001	000111	0001110	0001110	0001110	0001110	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
pandas	pandas	p	pa	pan	pand	panda	s	as	das	ndas	andas	0	0	0	1111	111111	11111100	11111100	11111100	11111100	O
panel	panel	p	pa	pan	pane	panel	l	el	nel	anel	panel	0	0	0	1110	111001	11100110	1110011010	111001101011	1110011010111	B-API
.	.	.	-	-	-	-	.	-	-	-	-	1	0	0	0011	001111	00111110	00111110	00111110	00111110	O

I	i	i	-	-	-	-	i	-	-	-	-	0	0	0	0111	011101	0111010	0111010	0111010	0111010	O
would	would	w	wo	wou	woul	would	d	ld	uld	ould	would	0	0	0	0111	011111	01111101	0111110110	0111110110	0111110110	O
like	like	l	li	lik	like	-	e	ke	ike	like	-	0	0	0	0101	010111	01011100	01011100	01011100	01011100	O
to	to	t	to	-	-	-	o	to	-	-	-	0	0	0	0111	011110	011110	011110	011110	011110	O
count	count	c	co	cou	coun	count	t	nt	unt	ount	count	0	0	0	0101	010111	01011110	0101111000	010111100010	0101111000101	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
occurence	occurence	o	oc	occ	occu	occur	e	ce	nce	ence	rence	0	0	0	1110	111000	11100001	1110000111	11100001110	11100001110	O
of	of	o	of	-	-	-	f	of	-	-	-	0	0	0	0000	0000	0000	0000	0000	0000	O
values	values	v	va	val	valu	value	s	es	ues	lues	alues	0	0	0	1110	111010	11101011	1110101110	1110101110	1110101110	O
1.0	1.0	1	1.	1.0	-	-	0	.0	1.0	-	-	1	0	0	1100	110010	11001011	11001011	11001011	11001011	O
on	on	o	on	-	-	-	n	on	-	-	-	0	0	0	0001	000100	0001000	0001000	0001000	0001000	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
minor_axis	minor_axis	m	mi	min	mino	minor	s	is	xis	axis	_axis	0	0	1	1100	110000	11000011	1100001100	1100001100	1100001100	O
for	for	f	fo	for	-	-	r	or	for	-	-	0	0	0	0001	000110	000110	000110	000110	000110	O
each	each	e	ea	eac	each	-	h	ch	ach	each	-	0	0	0	1011	101110	10111001	10111001	10111001	10111001	O
item	item	i	it	ite	item	-	m	em	tem	item	-	0	0	0	1110	111000	11100001	1110000111	11100001110	11100001110	O
in	in	i	in	-	-	-	n	in	-	-	-	0	0	0	0001	000101	0001010	0001010	0001010	0001010	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
panel	panel	p	pa	pan	pane	panel	l	el	nel	anel	panel	0	0	0	1110	111001	11100110	1110011010	111001101011	1110011010111	B-API
.	.	.	-	-	-	-	.	-	-	-	-	1	0	0	0011	001111	00111110	00111110	00111110	00111110	O

What	what	w	wh	wha	what	-	t	at	hat	what	-	0	0	0	0110	011001	01100100	01100100	01100100	01100100	O
I	i	i	-	-	-	-	i	-	-	-	-	0	0	0	0111	011101	0111010	0111010	0111010	0111010	O
have	have	h	ha	hav	have	-	e	ve	ave	have	-	0	0	0	0100	010001	0100010	0100010	0100010	0100010	O
so	so	s	so	-	-	-	o	so	-	-	-	0	0	0	0110	011011	01101111	0110111110	0110111110	0110111110	O
far	far	f	fa	far	-	-	r	ar	far	-	-	0	0	0	0101	010111	01011111	0101111100	010111110001	0101111100010	O
:	:	:	-	-	-	-	:	-	-	-	-	0	0	0	0010	00101	00101	00101	00101	00101	O
#CODE	#code	#	#c	#co	#cod	#code	e	de	ode	code	#code	0	0	0	0110	011010	011010	011010	011010	011010	O

Having	having	h	ha	hav	havi	havin	g	ng	ing	ving	aving	0	0	0	0101	010110	01011001	0101100110	01011001100	01011001100	O
never	never	n	ne	nev	neve	never	r	er	ver	ever	never	0	0	0	0101	010101	01010111	0101011101	01010111010	01010111010	O
dealt	dealt	d	de	dea	deal	dealt	t	lt	alt	ealt	dealt	0	0	0	0101	010110	01011011	0101101111	01011011111	01011011111	O
with	with	w	wi	wit	with	-	h	th	ith	with	-	0	0	0	0001	000101	00010110	00010110	00010110	00010110	O
panels	panels	p	pa	pan	pane	panel	s	ls	els	nels	anels	0	0	0	1110	111010	11101011	111010110	111010110	111010110	O
before	before	b	be	bef	befo	befor	e	re	ore	fore	efore	0	0	0	0110	011011	01101110	0110111011	011011101111	0110111011110	O
I	i	i	-	-	-	-	i	-	-	-	-	0	0	0	0111	011101	0111010	0111010	0111010	0111010	O
tried	tried	t	tr	tri	trie	tried	d	ed	ied	ried	tried	0	0	0	0100	010001	01000111	0100011111	01000111110	01000111110	O
this	this	t	th	thi	this	-	s	is	his	this	-	0	0	0	0110	011000	0110000	0110000	0110000	0110000	O
:	:	:	-	-	-	-	:	-	-	-	-	0	0	0	0010	00101	00101	00101	00101	00101	O
`	`	`	-	-	-	-	`	-	-	-	-	0	0	0	1101	110100	110100	110100	110100	110100	O
P	p	p	-	-	-	-	p	-	-	-	-	0	0	0	1100	110000	11000011	1100001100	1100001100	1100001100	O
[	[	[	-	-	-	-	[	-	-	-	-	0	0	0	1101	110111	11011110	110111100	110111100	110111100	O
P.minor_axis	p.minor_axis	p	p.	p.m	p.mi	p.min	s	is	xis	axis	_axis	1	0	1	null	null	null	null	null	null	O
==	==	=	==	-	-	-	=	==	-	-	-	0	0	0	1101	110111	11011110	1101111011	110111101110	110111101110	O
'	'	'	-	-	-	-	'	-	-	-	-	0	0	0	1101	110101	1101011	1101011	1101011	1101011	O
a	a	a	-	-	-	-	a	-	-	-	-	0	0	0	1010	1010	1010	1010	1010	1010	O
']	']	'	']	-	-	-	]	']	-	-	-	0	0	0	1101	110110	11011010	110110100	110110100	110110100	O
.min()	.min()	.	.m	.mi	.min	.min(	)	()	n()	in()	min()	1	1	0	1100	110001	11000110	11000110	11000110	11000110	B-API
`	`	`	-	-	-	-	`	-	-	-	-	0	0	0	1101	110100	110100	110100	110100	110100	O
does	does	d	do	doe	does	-	s	es	oes	does	-	0	0	0	0101	010111	01011111	0101111111	010111111110	0101111111100	O
it	it	i	it	-	-	-	t	it	-	-	-	0	0	0	0110	011000	01100010	01100010	01100010	01100010	O
do	do	d	do	-	-	-	o	do	-	-	-	0	0	0	0100	010010	0100100	0100100	0100100	0100100	O
what	what	w	wh	wha	what	-	t	at	hat	what	-	0	0	0	0110	011001	01100100	01100100	01100100	01100100	O
you	you	y	yo	you	-	-	u	ou	you	-	-	0	0	0	0111	011100	0111000	0111000	0111000	0111000	O
want	want	w	wa	wan	want	-	t	nt	ant	want	-	0	0	0	0100	010000	0100001	0100001	0100001	0100001	O
?	?	?	-	-	-	-	?	-	-	-	-	0	0	0	0011	001111	00111111	00111111	00111111	00111111	O

To	to	t	to	-	-	-	o	to	-	-	-	0	0	0	0111	011110	011110	011110	011110	011110	O
count	count	c	co	cou	coun	count	t	nt	unt	ount	count	0	0	0	0101	010111	01011110	0101111000	010111100010	0101111000101	O
all	all	a	al	all	-	-	l	ll	all	-	-	0	0	0	1011	101101	10110101	10110101	10110101	10110101	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
"	"	"	-	-	-	-	"	-	-	-	-	0	0	0	1101	110101	1101010	1101010	1101010	1101010	O
b	b	b	-	-	-	-	b	-	-	-	-	0	0	0	1100	110000	11000001	11000001	11000001	11000001	O
"	"	"	-	-	-	-	"	-	-	-	-	0	0	0	1101	110101	1101010	1101010	1101010	1101010	O
values	values	v	va	val	valu	value	s	es	ues	lues	alues	0	0	0	1110	111010	11101011	1110101110	1110101110	1110101110	O
1.0	1.0	1	1.	1.0	-	-	0	.0	1.0	-	-	1	0	0	1100	110010	11001011	11001011	11001011	11001011	O
,	,	,	-	-	-	-	,	-	-	-	-	0	0	0	0011	001110	001110	001110	001110	001110	O
I	i	i	-	-	-	-	i	-	-	-	-	0	0	0	0111	011101	0111010	0111010	0111010	0111010	O
would	would	w	wo	wou	woul	would	d	ld	uld	ould	would	0	0	0	0111	011111	01111101	0111110110	0111110110	0111110110	O
first	first	f	fi	fir	firs	first	t	st	rst	irst	first	0	0	0	1111	111110	11111010	111110100	111110100	111110100	O
isolate	isolate	i	is	iso	isol	isola	e	te	ate	late	olate	0	0	0	0100	010011	01001100	0100110011	01001100110	01001100110	O
b	b	b	-	-	-	-	b	-	-	-	-	0	0	0	1100	110000	11000001	11000001	11000001	11000001	O
in	in	i	in	-	-	-	n	in	-	-	-	0	0	0	0001	000101	0001010	0001010	0001010	0001010	O
its	its	i	it	its	-	-	s	ts	its	-	-	0	0	0	1011	101110	10111011	101110111	101110111	101110111	O
own	own	o	ow	own	-	-	n	wn	own	-	-	0	0	0	1100	110011	11001111	1100111110	1100111110	1100111110	O
DataFrame	dataframe	d	da	dat	data	dataf	e	me	ame	rame	frame	0	0	0	1110	111001	11100110	111001100	111001100	111001100	B-API
by	by	b	by	-	-	-	y	by	-	-	-	0	0	0	0001	000111	00011111	00011111	00011111	00011111	O
swapping	swapping	s	sw	swa	swap	swapp	g	ng	ing	ping	pping	0	0	0	0101	010111	01011110	0101111001	01011110010	01011110010	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
minor	minor	m	mi	min	mino	minor	r	or	nor	inor	minor	0	0	0	1111	111111	11111111	1111111101	111111110110	111111110110	O
axis	axis	a	ax	axi	axis	-	s	is	xis	axis	-	0	0	0	1110	111000	11100011	1110001101	111000110111	111000110111	O
and	and	a	an	and	-	-	d	nd	and	-	-	0	0	0	0011	001100	001100	001100	001100	001100	O
the	the	t	th	the	-	-	e	he	the	-	-	0	0	0	1000	1000	1000	1000	1000	1000	O
items	items	i	it	ite	item	items	s	ms	ems	tems	items	0	0	0	1110	111010	11101010	1110101011	111010101110	111010101110	O
.	.	.	-	-	-	-	.	-	-	-	-	1	0	0	0011	001111	00111110	00111110	00111110	00111110	O

#CODE	#code	#	#c	#co	#cod	#code	e	de	ode	code	#code	0	0	0	0110	011010	011010	011010	011010	011010	O

Thanks	thanks	t	th	tha	than	thank	s	ks	nks	anks	hanks	0	0	0	0110	011011	01101100	01101100	01101100	01101100	O
for	for	f	fo	for	-	-	r	or	for	-	-	0	0	0	0001	000110	000110	000110	000110	000110	O
thinking	thinking	t	th	thi	thin	think	g	ng	ing	king	nking	0	0	0	0101	010110	01011011	0101101110	010110111011	010110111011	O
with	with	w	wi	wit	with	-	h	th	ith	with	-	0	0	0	0001	000101	00010110	00010110	00010110	00010110	O
me	me	m	me	-	-	-	e	me	-	-	-	0	0	0	0101	010111	01011111	0101111110	010111111010	010111111010	O
guys	guys	g	gu	guy	guys	-	s	ys	uys	guys	-	0	0	0	0101	010111	01011111	0101111101	010111110111	0101111101110	O
,	,	,	-	-	-	-	,	-	-	-	-	0	0	0	0011	001110	001110	001110	001110	001110	O
